Timestamp,Reason,Region,Traffic_Hour,Day,Traffic_Type,Comments
1/18/2021 21:55:17,Hawker on the side of the road,Bhoddarhat,Morning,Thursday,Yes,Bhoddarhat is very congested in the Morning. Hawker on the side of the road
1/18/2021 21:55:17,"Does not obey traffic laws, Hawker on the side of the road, Due to more rickshaws",Bohoddarhat ,Noon,Thursday,Yes,"Bohoddarhat  is very congested in the Noon. Does not obey traffic laws, Hawker on the side of the road, Due to more rickshaws"
1/18/2021 21:55:17,Job holder people go to the office.,pachlaish,Morning,"Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday",No,pachlaish is very congested in the Morning. Job holder people go to the office.
1/18/2021 21:55:17,Export Import activists of CTG Port,agrabad,Dawn,"Saturday, Monday, Wednesday",No,agrabad is very congested in the Dawn. Export Import activists of CTG Port
1/18/2021 21:55:17,More vehicle ,GEC,Mid-Morning,"Sunday, Monday, Tuesday, Wednesday, Thursday",Yes,GEC is very congested in the Mid-Morning. More vehicle 
1/18/2021 21:55:17,hoyar Karon chola chol beshi ,Gate no Two,Morning,Saturday,No,Gate no Two is very congested in the Morning. hoyar Karon chola chol beshi 
1/19/2021 21:55:17,break traffic rule,Muradpur,Dawn,"Sunday, Monday, Tuesday, Wednesday, Thursday",No,Muradpur is very congested in the Dawn. break traffic rule
1/20/2021 21:55:17,Reason for rickshaw ,Muradpur,Noon,"Sunday, Monday, Tuesday, Wednesday, Thursday",Yes,Muradpur is very congested in the Noon. Reason for rickshaw 
1/20/2021 21:55:17,beside hawker on the road,Muradpur,Dawn,"Saturday, Friday",No,Muradpur is very congested in the Dawn. beside hawker on the road
1/20/2021 21:55:17,More vehicle ,GEC,Mid-Morning,"Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday",Yes,GEC is very congested in the Mid-Morning. More vehicle 
1/20/2021 21:55:17,More vehicle ,GEC,Mid-Morning,"Saturday, Sunday, Monday, Tuesday, Wednesday, Thursday",Yes,GEC is very congested in the Mid-Morning. More vehicle 
1/20/2021 21:55:17,Job holder people go to the office.,pachlaish,Morning,Sunday,No,pachlaish is very congested in the Morning. Job holder people go to the office.
3/22/2021 13:37:15,Job holder people go to the office.,pachlaish,Morning,Friday,No,pachlaish is very congested in the Morning. Job holder people go to the office.
3/22/2021 13:41:23,Job holder people go to the office.,pachlaish,Mid-Morning,Friday,Yes,pachlaish is very congested in the Mid-Morning. Job holder people go to the office.
3/22/2021 13:45:59,More vehicle ,GEC,Evening,"Sunday, Monday, Tuesday, Wednesday, Thursday",Yes,GEC is very congested in the Evening. More vehicle 
